206;504742;Radosovce;1457;685;47,01;685;653
206;504815;Skalica;12767;5625;44,05;5625;5557
206;504912;Trnovec;241;140;58,09;140;135
206;504939;Unin;1009;491;48,66;491;473
206;504963;Vradiste;650;280;43,07;280;271
203;506800;Bojnicky;1133;461;40,68;461;457
203;506885;Cervenik;1340;585;43,65;585;576
203;506958;Dolne Otrokovce;305;129;42,29;129;128
203;506966;Dolne Trhoviste;527;228;43,26;228;227
203;556521;Dolne Zelenice;484;254;52,47;254;250
203;507024;Dvorniky;1649;559;33,89;559;548
203;507032;Hlohovec;17573;7554;42,98;7552;7410
203;507075;Horne Otrokovce;725;316;43,58;316;310
203;556602;Horne Trhoviste;480;216;45;216;213
203;556530;Horne Zelenice;557;203;36,44;203;203
203;507130;Jalsove;416;138;33,17;138;132
203;507172;Klacany;897;378;42,14;378;374
203;507202;Koplotovce;600;262;43,66;262;253
203;507253;Leopoldov;3453;1632;47,26;1632;1588
203;507288;Madunice;1790;818;45,69;818;806
203;507326;Merasice;356;163;45,78;163;162
203;507415;Pastuchov;770;312;40,51;312;312
203;518620;Ratkovce;267;132;49,43;132;125
203;507521;Sasinkovo;718;232;32,31;232;231
203;507539;Siladice;596;261;43,79;261;259
203;556611;Tekoldany;120;51;42,5;51;51
203;556645;Teplicky;255;104;40,78;104;102
203;507661;Trakovice;1257;613;48,76;613;603
203;507792;Zlkovce;541;237;43,8;237;230
207;580473;Biely Kostol;1696;820;48,34;820;808
207;506788;Binovce;545;273;50,09;273;267
207;506796;Bohdanovce nad Trnavou;1152;586;50,86;586;576
207;506818;Boleraz;1873;838;44,74;838;822
207;506826;Borova;361;180;49,86;180;177
207;506842;Brestovany;2113;882;41,74;882;854
207;506851;Bucany;1903;903;47,45;903;890
207;506869;Bukova;566;280;49,46;280;275
207;506877;Cifer;3585;1796;50,09;1795;1752
207;506893;Dechtice;1514;690;45,57;690;672
207;556599;Dlha;362;167;46,13;167;160
207;506915;Dobra Voda;702;374;53,27;374;363
207;506923;Dolna Krupa;1922;851;44,27;851;839
207;506931;Dolne Dubove;588;286;48,63;286;282
207;556661;Dolne Lovcice;632;303;47,94;303;298
207;506940;Dolne Oresany;1086;550;50,64;550;535
207;507041;Horna Krupa;419;215;51,31;215;211
207;507059;Horne Dubove;316;145;45,88;145;144
207;507067;Horne Oresany;1602;756;47,19;756;748
207;581020;Hrnciarovce nad Parnou;2174;1270;58,41;1270;1247
207;507156;Jaslovske Bohunice;1813;873;48,15;873;858
207;507164;Katlovce;922;447;48,48;447;439
207;507211;Kosolna;656;313;47,71;313;311
207;556483;Krizovany nad Dudvahom;1483;712;48,01;712;703
207;556688;Losonec;482;214;44,39;214;209
207;507296;Majcichov;1713;764;44,6;763;748
207;507318;Malzenice;1219;538;44,13;538;524
207;507351;Nahac;363;184;50,68;184;183
207;556491;Opoj;937;456;48,66;456;451
207;556556;Pavlice;452;218;48,23;218;217
207;556653;Radosovce;326;158;48,46;158;155
207;507512;Ruzindol;1291;674;52,2;674;665
207;556564;Slovenska Nova Ves;429;209;48,71;209;205
207;507555;Smolenice;2715;1409;51,89;1408;1372
207;507571;Sucha nad Parnou;1723;859;49,85;859;848
207;556670;Selpice;730;316;43,28;316;311
207;507601;Spacince;2425;1256;51,79;1256;1238
207;507636;Surovce;1904;817;42,9;817;793
207;506745;Trnava;53062;24847;46,82;24847;24321
207;507687;Trstin;1171;522;44,57;522;513
207;556513;Vlckovce;1097;503;45,85;503;494
207;507741;Voderady;1172;550;46,92;550;544
207;507768;Zavar;1711;714;41,72;714;704
207;507776;Zelenec;2201;1036;47,06;1036;1028
207;581488;Zvoncin;676;368;54,43;368;362
301;542652;Banovce nad Bebravou;14806;6168;41,65;6166;6048
301;556793;Borcany;202;78;38,61;78;75
301;542741;Brezolupy;409;198;48,41;198;195
301;542776;Cimenna;79;45;56,96;45;45
301;542806;Cierna Lehota;123;63;51,21;63;58
301;542822;Dezerice;722;315;43,62;315;314
301;542849;Dolne Nastice;449;219;48,77;219;215
301;542857;Dubnicka;104;56;53,84;56;55
301;542873;Dvorec;367;177;48,22;177;175
301;542890;Halacovce;264;130;49,24;130;121
301;542920;Horne Nastice;378;215;56,87;215;210
301;556408;Chuda Lehota;184;102;55,43;102;102
301;543080;Krasna Ves;423;198;46,8;198;193
301;543136;Ksinna;432;191;44,21;191;184
301;556360;Libichava;115;51;44,34;51;49
301;505056;Lutov;137;63;45,98;63;63
301;505072;Mala Hradna;320;183;57,18;183;180
301;505102;Male Hoste;333;130;39,03;130;127
301;505153;Miezgovce;235;130;55,31;130;127
301;505200;Nedasovce;369;178;48,23;178;170
301;505277;Omastina;42;18;42,85;18;18
301;556289;Otrhanky;339;162;47,78;162;157
301;505331;Pecenany;424;187;44,1;187;183
301;505358;Podluzany;725;342;47,17;342;334
301;556742;Pochabany;204;108;52,94;108;106
301;505382;Pravotice;261;144;55,17;144;137
301;505412;Prusy;500;227;45,4;227;223
301;505447;Ruskovce;446;235;52,69;235;234
301;505455;Rybany;1222;522;42,71;521;517
301;505471;Slatina nad Bebravou;344;169;49,12;169;168
